latitude,longitude,timestamp,score
37.452638, 126.656382,2024-11-23 09:15:23,87
37.452683, 126.656565,2024-11-23 09:15:24,92
37.452729, 126.656741,2024-11-23 09:15:25,45
37.452786, 126.656968,2024-11-23 09:15:26,73
37.452844, 126.657212,2024-11-23 09:15:27,28
37.452884, 126.657378,2024-11-23 09:15:28,48
37.452960, 126.657682,2024-11-23 09:15:29,59
37.452980, 126.657772,2024-11-23 09:15:30,1
37.452932, 126.657759,2024-11-23 09:15:31,59
37.452792, 126.657709,2024-11-23 09:15:32,4
37.452676, 126.657646,2024-11-23 09:15:33,43
37.452464, 126.657692,2024-11-23 09:15:34,26
37.452407, 126.657881,2024-11-23 09:15:35,35
37.452590, 126.657975,2024-11-23 09:15:36,2
