latitude,longitude,timestamp,score
34.052249671415304,-118.24360738224524,2024-11-10 09:15:23,43
34.052235844985184,-118.2434164405812,2024-11-10 09:15:24,48
34.052300613838995,-118.24355629733859,2024-11-10 09:15:25,74
34.052452916824635,-118.24350000041491,2024-11-10 09:15:26,60
34.05242950148716,-118.24356506467183,2024-11-10 09:15:27,66
34.05240608779147,-118.2436137772102,2024-11-10 09:15:28,5
34.052564009073016,-118.24367301660263,2024-11-10 09:15:29,8
34.05264075254593,-118.24375941567959,2024-11-10 09:15:30,5
34.05259380510734,-118.2437545635168,2024-11-10 09:15:31,72
34.0526480611117,-118.24383765852845,2024-11-10 09:15:32,94
34.05260171934242,-118.24381061284586,2024-11-10 09:15:33,31
34.05255514636706,-118.2438156366568,2024-11-10 09:15:34,40
34.052579342594214,-118.2438395314615,2024-11-10 09:15:35,75
34.05238801456975,-118.2439302878277,2024-11-10 09:15:36,7
34.0522155227865,-118.24398796496075,2024-11-10 09:15:37,71
34.05215929403357,-118.24391242583818,2024-11-10 09:15:38,49
34.05205801092154,-118.24386233411941,2024-11-10 09:15:39,91
34.0520894356548,-118.24396008964389,2024-11-10 09:15:40,61
34.05199863324725,-118.24395015641335,2024-11-10 09:15:41,83
34.05185740287712,-118.24387501770101,2024-11-10 09:15:42,61
34.05200396775401,-118.24404195822912,2024-11-10 09:15:43,6
34.051981390123956,-118.24398762220989,2024-11-10 09:15:44,74
34.05198814294443,-118.24405388458578,2024-11-10 09:15:45,83
34.05184566812581,-118.24399682471892,2024-11-10 09:15:46,79
34.05179122985336,-118.24407315063458,2024-11-10 09:15:47,3
34.05180232211232,-118.24425363884464,2024-11-10 09:15:48,5
34.05168722275458,-118.24441639308843,2024-11-10 09:15:49,57
34.05172479255642,-118.24441158459376,2024-11-10 09:15:50,21
34.05166472868743,-118.24438561234359,2024-11-10 09:15:51,25
34.051635559312444,-118.2444760440061,2024-11-10 09:15:52,2
34.05157538865122,-118.24441218476022,2024-11-10 09:15:53,40
34.05176061646967,-118.24457833676645,2024-11-10 09:15:54,59
34.0517592667472,-118.24458494474632,2024-11-10 09:15:55,13
34.05165349565431,-118.24470604636629,2024-11-10 09:15:56,74
34.05173575014552,-118.24477122997708,2024-11-10 09:15:57,81
34.051613665780515,-118.24476649010994,2024-11-10 09:15:58,11
34.051634552140015,-118.24485253144647,2024-11-10 09:15:59,86
34.05143858512763,-118.2448909870009,2024-11-10 09:16:00,11
34.05130576652274,-118.24479035771998,2024-11-10 09:16:01,12
34.051325452646324,-118.24484804690692,2024-11-10 09:16:02,24
34.05139929930433,-118.24476447769572,2024-11-10 09:16:03,44
34.05141643613245,-118.24487744838119,2024-11-10 09:16:04,18
34.05140487130421,-118.2448244679634,2024-11-10 09:16:05,54
